,Track Name,Artists,Album,Release Date,Popularity,Danceability,Acousticness,Loudness,Energy,Tempo
64,Call Out My Name,The Weeknd,"My Dear Melancholy,",2018-03-30,88,0.461,0.17,-4.954,0.593,134.17
65,The Archer,Taylor Swift,Lover,2019-08-23,83,0.292,0.12,-9.375,0.574,124.344
66,Kita - Acoustic,Sheila On 7,OST. 30 Hari Mencari Cinta,2003-12-05,48,0.773,0.142,-11.398,0.525,119.024
67,Kita,Sheila On 7,Sheila On 7,1999-07-14,66,0.687,0.15,-11.654,0.616,123.015
68,Betapa,Sheila On 7,Menentukan Arah,2008-11-11,60,0.621,0.303,-6.28,0.727,130.001
69,Sahabat Sejati,Sheila On 7,Kisah Klasik Untuk Masa Depan,2000-10-04,61,0.481,0.00619,-7.837,0.839,163.71
70,Perasaanku Tentang Perasaanku Kepadamu,Dewa 19,The 2000's Greatest,2007-03-12,41,0.681,0.0824,-7.899,0.622,94.99
71,West Coast,Lana Del Rey,Ultraviolence (Deluxe),2014-01-01,86,0.527,0.194,-7.664,0.591,123.167
72,Consume (feat. Goon Des Garcons),"Chase Atlantic, GOON DES GARCONS*",Chase Atlantic,2017-10-04,79,0.556,0.07,-5.322,0.714,146.113
73,Bother,"Chris Coral, AdamAlexander",All for Fun,2017-11-24,22,0.736,0.024,-5.917,0.632,150.111
74,Can't Remember to Forget You (feat. Rihanna),"Shakira, Rihanna",Shakira. (Expanded Edition),2014-03-14,71,0.694,0.122,-3.556,0.81,137.968
75,Cry Me a River,Justin Timberlake,Justified,2002-11-04,77,0.624,0.577,-6.582,0.654,73.898
76,can't remember to forget you (sped up),eresha,can't remember to forget you (sped up),2022-06-24,0,0.374,0.122,-4.892,0.892,164.077
77,moment,Vierre Cloud,moment,2019-12-19,79,0.544,0.0426,-7.461,0.855,171.349
78,Those Eyes,New West,Those Eyes,2019-05-10,19,0.597,0.727,-8.043,0.351,119.948
79,Baby Came Home 2 / Valentines,The Neighbourhood,Wiped Out!,2015-10-30,70,0.21,0.0687,-9.754,0.499,74.094
80,New Thang,Redfoo,New Thang,2015-07-13,60,0.743,0.0156,-5.189,0.841,100.003
81,Rumah Singgah,Fabio Asher,Rumah Singgah,2022-05-05,3,0.418,0.723,-10.665,0.229,78.144
82,Bertahan Terluka,Fabio Asher,Bertahan Terluka,2022-02-02,3,0.325,0.495,-9.536,0.345,77.835
83,Wish I Could,"Victor Lundberg, Andy Delos Santos",Wish I Could,2019-10-11,49,0.468,0.483,-7.774,0.701,179.779
84,Get Free,Lana Del Rey,Lust For Life,2017-07-21,71,0.205,0.498,-10.45,0.472,203.944
85,Brooklyn Baby,Lana Del Rey,Ultraviolence (Deluxe),2014-01-01,83,0.404,0.542,-6.698,0.664,107.747
86,Crazy,"Chris Coral, AdamAlexander",All for Fun,2017-11-24,37,0.862,0.182,-6.766,0.496,107.959
87,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,1985,32,0.629,0.72,-13.123,0.547,108.375
88,마지막 사랑 Last Love,Red Velvet,Rookie - The 4th Mini Album,2017-02-01,38,0.331,0.565,-6.231,0.509,129.479
89,Officially Missing You,Tamia,Officially Missing You,2003,65,0.476,0.247,-9.239,0.407,178.258
90,Sedari Dulu,Tompi,My Happy Life,2008-01-28,55,0.717,0.388,-5.438,0.71,107.983
91,Cinta Pertama Dan Terakhir,Sherina,Gemini,2009-09-07,59,0.447,0.641,-5.815,0.479,151.815
92,Simfoni Hitam - versi Band,Sherina,Gemini,2009-09-07,52,0.5,0.214,-7.447,0.406,133.94
93,장미꽃 향기는 바람에 날리고 Rose Scent Breeze,Red Velvet,The Velvet - The 2nd Mini Album,2016-03-17,36,0.41,0.878,-7.09,0.333,127.791
94,Try Again,"JAEHYUN, d.ear",Try Again - SM STATION,2017-11-24,76,0.435,0.814,-7.815,0.352,85.82
95,drunk,keshi,always,2020-10-23,70,0.691,0.765,-8.247,0.389,104.952
96,When You're Gone,Avril Lavigne,The Best Damn Thing,2007-04-13,0,0.458,0.189,-3.921,0.719,142.032
97,Head Over Heels,Tears For Fears,Rule The World: The Greatest Hits,2017-11-10,73,0.602,0.502,-4.251,0.839,95.159
98,505,Arctic Monkeys,Favourite Worst Nightmare,2007-04-22,87,0.526,0.00287,-5.822,0.866,140.266
99,Young And Beautiful,Lana Del Rey,Young And Beautiful,2013-01-01,87,0.324,0.262,-8.92,0.416,113.986
